"blueWins","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueTowersDestroyed","blueTotalGold","blueAvgLevel","blueTotalExperience","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueGoldDiff","blueExperienceDiff","redWardsPlaced","redWardsDestroyed","redFirstBlood","redKills","redDeaths","redAssists","redEliteMonsters","redTowersDestroyed","redTotalGold","redAvgLevel","redTotalExperience","redTotalMinionsKilled","redTotalJungleMinionsKilled","redGoldDiff","redExperienceDiff"
1,36,1,"0",10,6,12,0,0,19226,7.4,20118,231,44,3004,2300,16,2,"1",6,10,7,0,0,16222,7,17818,185,39,-3004,-2300
1,18,3,"0",9,6,14,1,0,16945,6.8,17806,204,36,1574,761,17,2,"1",6,9,6,0,0,15371,6.8,17045,194,54,-1574,-761
1,12,2,"1",5,5,3,0,0,15000,6.6,16493,233,16,-1036,-1423,19,1,"0",5,5,4,0,0,16036,7,17916,221,44,1036,1423
0,18,4,"1",3,4,2,1,0,15888,7.4,19090,252,60,16,433,39,4,"0",4,3,2,1,0,15872,7,18657,243,49,-16,-433
0,41,0,"0",1,10,0,0,0,12925,6.4,15498,187,32,-6386,-4210,12,1,"1",10,1,6,1,1,19311,7.2,19708,247,56,6386,4210
1,14,4,"1",11,2,9,0,0,19250,7.6,19703,251,48,5096,3310,15,3,"0",2,11,2,0,0,14154,6.4,16393,196,53,-5096,-3310
1,19,1,"1",8,4,5,1,1,18355,7,18790,218,54,2756,1683,13,5,"0",4,8,5,0,0,15599,6.8,17107,200,57,-2756,-1683
1,15,2,"0",2,3,2,1,0,13978,6.6,16429,180,44,-977,-1025,12,4,"1",3,2,1,0,0,14955,6.8,17454,218,56,977,1025
0,16,1,"0",5,5,8,0,0,15851,6.8,17366,206,56,-808,-1655,38,6,"1",5,5,6,0,0,16659,7.2,19021,241,44,808,1655
0,14,0,"0",7,9,5,0,0,16474,6.6,17408,209,50,-1559,-407,22,4,"1",9,7,13,1,0,18033,6.8,17815,206,53,1559,407
1,18,0,"0",6,8,6,0,0,16590,7,18284,213,49,544,75,12,1,"1",8,6,7,0,0,16046,7,18209,182,44,-544,-75
1,22,4,"1",5,2,2,2,0,15737,7,18634,217,53,1381,1017,16,3,"0",2,5,1,0,0,14356,7,17617,212,60,-1381,-1017
1,37,2,"1",5,3,5,0,0,16990,7.4,19634,248,54,2031,1449,15,1,"0",3,5,5,1,0,14959,7,18185,210,68,-2031,-1449
0,14,4,"0",3,3,2,1,0,15297,7,19210,246,56,131,370,20,2,"1",3,3,1,0,0,15166,7.2,18840,227,64,-131,-370
0,16,2,"0",4,10,4,1,0,15651,7,17696,224,53,-2699,-2749,30,2,"1",10,4,11,1,0,18350,7.4,20445,201,54,2699,2749
0,17,0,"1",5,7,7,1,0,15587,6.8,16746,181,63,-1672,-2698,14,0,"0",7,5,6,0,0,17259,7.4,19444,218,76,1672,2698
1,19,3,"1",10,6,11,1,0,17777,7.2,18131,213,42,1201,316,18,4,"0",6,10,5,0,0,16576,6.8,17815,234,44,-1201,-316
1,29,3,"1",7,5,5,2,0,16426,7,18407,222,55,-108,59,14,4,"0",5,7,4,0,0,16534,6.8,18348,247,44,108,-59
0,12,0,"0",10,7,11,0,1,20278,7.2,19575,236,58,4633,2269,20,1,"1",7,10,6,1,0,15645,6.6,17306,182,45,-4633,-2269
0,18,4,"0",2,7,0,0,0,13791,6.6,16437,191,62,-2262,-1391,18,3,"1",7,2,4,1,0,16053,6.8,17828,218,48,2262,1391
0,24,3,"0",6,7,5,0,0,16505,7,17667,208,70,-49,500,17,2,"1",7,6,10,1,0,16554,6.8,17167,207,45,49,-500
1,18,2,"1",6,4,4,1,0,17277,7.2,19610,229,54,1687,1089,36,3,"0",4,6,5,1,0,15590,7.2,18521,232,56,-1687,-1089
1,122,3,"1",9,1,10,2,0,18269,7.2,19659,229,68,3933,2922,14,3,"0",1,9,1,0,0,14336,6.4,16737,233,40,-3933,-2922
0,12,4,"0",4,10,3,1,0,14166,6.6,15959,203,41,-4061,-4397,16,2,"1",10,4,6,0,0,18227,7.4,20356,224,72,4061,4397
0,52,2,"0",6,12,7,0,0,15456,6.6,16280,188,42,-4920,-3280,15,1,"1",12,6,11,1,1,20376,7.4,19560,240,62,4920,3280
0,19,2,"0",4,5,2,0,0,15180,7,17773,210,52,-1705,-1839,11,4,"1",5,4,1,0,0,16885,7.2,19612,227,62,1705,1839
0,32,4,"1",7,8,8,1,0,16179,6.8,16814,212,46,105,-1547,24,5,"0",8,7,5,1,0,16074,7,18361,200,42,-105,1547
1,14,0,"0",3,5,3,0,0,16026,7,18490,233,57,-554,521,11,1,"1",5,3,6,1,0,16580,6.8,17969,234,44,554,-521
0,19,5,"1",4,5,4,0,0,14850,6.8,17145,198,53,-1037,-1577,18,4,"0",5,4,5,1,0,15887,7,18722,241,44,1037,1577
0,16,2,"1",9,8,7,1,0,17347,7,18573,202,62,-1144,480,13,5,"0",8,9,11,1,1,18491,7,18093,199,45,1144,-480
1,36,0,"1",5,4,6,0,0,15887,6.8,17591,200,32,1173,953,12,1,"0",4,5,3,1,0,14714,6.6,16638,186,63,-1173,-953
0,18,2,"1",8,2,11,0,0,17399,7,19449,232,44,3194,2534,13,3,"0",2,8,2,1,0,14205,6.6,16915,208,51,-3194,-2534
0,13,3,"1",2,7,1,1,0,13828,6.6,16629,204,38,-2622,-1136,12,0,"0",7,2,7,0,0,16450,6.8,17765,192,36,2622,1136
1,15,3,"1",6,4,4,1,0,16645,7.2,19110,242,52,1151,470,15,2,"0",4,6,3,1,0,15494,7,18640,205,50,-1151,-470
1,50,4,"1",6,4,8,2,0,16248,6.8,17200,200,52,1463,1490,48,2,"0",4,6,8,0,0,14785,6.6,15710,169,52,-1463,-1490
0,14,2,"0",4,6,1,0,0,15310,7,18337,221,52,-1038,-1307,15,2,"1",6,4,5,2,0,16348,7.2,19644,226,66,1038,1307
1,17,2,"1",8,4,7,1,0,16784,6.6,17242,212,40,1424,1060,13,4,"0",4,8,5,0,0,15360,6.4,16182,180,61,-1424,-1060
1,18,1,"0",13,9,18,1,0,19032,7.4,18951,232,44,527,721,12,4,"1",9,13,5,0,0,18505,7,18230,216,63,-527,-721
0,17,5,"0",7,6,12,0,0,17518,7.2,18342,242,46,1807,932,52,4,"1",6,7,9,2,0,15711,6.8,17410,198,60,-1807,-932
0,43,6,"1",11,4,12,1,0,18976,7.4,20326,256,43,2856,1262,16,0,"0",4,11,6,1,0,16120,7.2,19064,210,72,-2856,-1262
0,12,1,"0",6,6,10,1,0,16143,6.6,16617,204,56,-964,-2454,13,1,"1",6,6,3,1,0,17107,7,19071,241,56,964,2454
0,20,2,"0",7,8,6,1,0,15868,7,17111,199,51,-178,524,42,7,"1",8,7,6,1,0,16046,6.8,16587,178,47,178,-524
1,18,3,"0",9,8,7,1,0,17977,7,18162,235,41,705,192,16,0,"1",8,9,8,0,0,17272,7,17970,207,44,-705,-192
1,16,0,"0",10,10,14,1,0,18138,7,18159,208,55,908,306,15,1,"1",10,10,16,0,0,17230,7,17853,210,44,-908,-306
1,14,2,"0",7,2,12,2,0,18025,7.2,19864,261,68,3558,3243,25,0,"1",2,7,3,0,0,14467,6.8,16621,220,56,-3558,-3243
0,12,6,"0",1,6,0,0,0,14625,6.8,17769,241,56,-1299,-49,53,1,"1",6,1,3,1,0,15924,7,17818,218,47,1299,49
1,16,4,"0",5,8,7,1,0,15752,6.6,17113,201,48,-1763,-1864,19,2,"1",8,5,6,0,0,17515,7.2,18977,248,40,1763,1864
1,15,0,"0",10,4,12,0,0,18480,7.4,19565,232,64,2547,2189,12,1,"1",4,10,4,0,0,15933,6.6,17376,247,41,-2547,-2189
0,13,3,"0",3,10,2,1,0,14995,6.6,16206,210,53,-3685,-3119,20,3,"1",10,3,13,1,0,18680,7.4,19325,200,67,3685,3119
0,83,13,"1",7,11,3,0,0,15655,6.4,15827,194,25,-3689,-4682,35,2,"0",11,7,7,1,0,19344,7.2,20509,216,59,3689,4682
0,17,4,"1",3,5,2,0,0,15562,7.2,18590,236,73,-764,803,33,4,"0",5,3,6,2,0,16326,6.8,17787,233,46,764,-803
1,16,3,"1",9,2,5,0,0,17139,7.2,19137,223,51,3037,2694,14,2,"0",2,9,2,1,0,14102,6.6,16443,213,41,-3037,-2694
1,14,4,"1",7,7,6,0,1,19229,7.2,18820,257,62,3545,2162,19,3,"0",7,7,10,1,0,15684,6.6,16658,145,36,-3545,-2162
0,14,2,"0",7,7,10,1,0,16972,7.2,19060,209,48,-1031,-394,16,4,"1",7,7,7,0,0,18003,7.4,19454,255,60,1031,394
0,17,1,"0",5,10,6,0,0,16249,7,18383,213,59,-1796,-749,16,2,"1",10,5,15,1,0,18045,7,19132,214,44,1796,749
1,16,6,"1",5,4,9,0,0,16415,6.8,17645,247,37,1626,747,17,2,"0",4,5,5,1,0,14789,7,16898,203,51,-1626,-747
1,40,1,"0",6,8,10,1,0,18012,7.2,19837,250,70,832,1330,12,1,"1",8,6,11,1,0,17180,7,18507,186,48,-832,-1330
1,16,0,"0",11,6,11,2,0,19294,7.4,20668,242,52,2750,2647,14,2,"1",6,11,9,0,0,16544,7,18021,203,52,-2750,-2647
0,16,1,"0",5,8,4,1,0,15383,6.8,17243,227,28,-1524,-827,11,3,"1",8,5,11,0,0,16907,7,18070,186,39,1524,827
0,16,4,"1",6,8,2,1,0,15777,6.6,17401,224,53,-1370,-875,20,2,"0",8,6,9,0,0,17147,7,18276,210,36,1370,875
0,14,3,"0",4,6,4,0,0,14805,6.6,17323,209,43,-1506,-412,17,3,"1",6,4,7,1,0,16311,7,17735,231,44,1506,412
0,13,5,"0",6,7,2,0,0,15244,6.6,16787,199,52,-1101,-718,17,4,"1",7,6,5,2,0,16345,7,17505,212,40,1101,718
0,18,4,"0",8,3,7,1,0,17574,7.2,19195,252,44,2774,2207,15,4,"1",3,8,2,1,0,14800,6.6,16988,225,47,-2774,-2207
0,24,0,"0",8,11,9,0,0,16655,7,17831,222,44,-1806,-588,13,3,"1",11,8,13,2,0,18461,7,18419,215,55,1806,588
0,12,5,"0",6,4,8,1,0,16855,7,18370,248,44,1265,1248,16,5,"1",4,6,4,1,0,15590,6.8,17122,207,52,-1265,-1248
1,17,3,"0",6,14,4,0,0,15786,6.6,16995,200,46,-4443,-4140,16,3,"1",14,6,9,1,0,20229,7.6,21135,227,66,4443,4140
0,19,3,"0",3,5,1,0,0,15143,7.2,19080,233,59,-927,967,16,4,"1",5,3,7,1,0,16070,7,18113,216,48,927,-967
1,12,3,"1",9,5,9,0,0,17309,7,18904,221,36,1425,728,14,2,"0",5,9,3,2,0,15884,6.8,18176,208,44,-1425,-728
1,14,3,"0",6,4,6,1,0,16416,7.4,19684,211,60,1177,1161,14,0,"1",4,6,2,0,0,15239,7,18523,204,71,-1177,-1161
1,19,2,"1",2,7,2,1,0,15222,7,17812,231,64,-1586,410,17,5,"0",7,2,14,1,0,16808,6.8,17402,211,64,1586,-410
0,16,2,"0",5,10,3,2,0,15526,6.8,17629,232,44,-2896,-2081,15,2,"1",10,5,6,0,0,18422,7.4,19710,236,76,2896,2081
1,18,1,"0",12,9,10,0,0,17597,6.4,15938,143,48,905,1054,12,3,"1",9,12,9,0,0,16692,6.2,14884,181,40,-905,-1054
0,17,1,"1",9,17,17,0,0,16834,6.2,14815,187,29,-3887,-3392,31,1,"0",17,9,21,0,0,20721,7,18207,211,40,3887,3392
1,32,2,"1",12,6,12,1,0,19058,7.2,19575,202,47,3413,2984,16,2,"0",6,12,7,0,0,15645,6.6,16591,210,39,-3413,-2984
0,16,2,"1",7,9,5,2,0,16806,7,18034,228,48,-256,-1580,34,2,"0",9,7,7,0,0,17062,7.4,19614,230,52,256,1580
1,19,5,"1",7,10,7,0,0,16643,6.8,17554,227,44,-1820,-1412,17,7,"0",10,7,11,0,0,18463,7.2,18966,231,45,1820,1412
1,14,1,"1",6,4,12,1,0,16189,6.8,17737,224,39,625,-534,102,1,"0",4,6,4,0,0,15564,7,18271,217,48,-625,534
0,12,2,"0",2,6,1,0,0,14095,6.8,17286,196,60,-3628,-2009,14,2,"1",6,2,4,1,0,17723,7,19295,266,60,3628,2009
0,30,6,"1",5,5,7,1,0,16804,6.8,17544,217,67,769,480,16,4,"0",5,5,6,1,0,16035,6.4,17064,233,54,-769,-480
0,18,5,"0",8,8,8,1,0,17305,7,18192,229,43,-576,-682,18,3,"1",8,8,6,1,0,17881,7,18874,198,66,576,682
0,14,16,"0",3,9,2,0,0,14539,6.4,16806,213,40,-3900,-3550,42,2,"1",9,3,8,1,0,18439,7.6,20356,255,51,3900,3550
1,14,2,"0",9,8,10,1,0,17530,7,18299,192,43,-7,-231,19,2,"1",8,9,8,1,0,17537,7.2,18530,209,60,7,231
1,13,6,"1",10,7,10,0,0,18431,7.2,19562,207,44,1683,1433,14,3,"0",7,10,5,1,0,16748,7,18129,231,56,-1683,-1433
0,16,4,"0",3,10,2,0,0,14032,6.8,16550,193,40,-4782,-3408,17,8,"1",10,3,11,1,0,18814,7.4,19958,245,51,4782,3408
1,38,3,"1",9,7,11,1,0,17869,7,17810,205,40,636,-214,14,1,"0",7,9,9,0,0,17233,6.8,18024,215,48,-636,214
1,40,1,"0",7,14,6,1,0,15974,6.2,16174,183,37,-3421,-2624,13,4,"1",14,7,12,0,0,19395,7.2,18798,219,49,3421,2624
1,18,5,"0",5,3,6,1,0,16108,7.2,18920,240,61,976,1599,39,3,"1",3,5,5,0,0,15132,6.8,17321,230,42,-976,-1599
0,40,3,"0",6,7,6,0,0,16302,6.8,17297,212,52,-211,-1305,17,4,"1",7,6,7,1,0,16513,7.2,18602,211,46,211,1305
1,18,5,"0",7,5,6,0,0,16750,6.8,17603,215,52,1221,462,35,3,"1",5,7,5,0,0,15529,6.8,17141,197,48,-1221,-462
1,17,5,"0",7,1,8,0,0,16506,7.2,18669,226,36,2037,1291,35,3,"1",1,7,0,1,0,14469,6.6,17378,217,80,-2037,-1291
1,15,5,"1",6,3,11,1,0,16389,7,17937,241,36,817,-94,38,2,"0",3,6,3,0,0,15572,6.8,18031,229,58,-817,94
1,18,2,"1",4,4,4,0,0,15760,7,18295,215,48,-137,-351,15,1,"0",4,4,1,1,0,15897,7,18646,227,72,137,351
1,43,6,"1",4,7,4,1,0,15176,6.4,16820,226,33,-1539,-1497,23,9,"0",7,4,12,0,0,16715,7.2,18317,205,52,1539,1497
0,13,5,"0",5,7,4,0,0,15196,6.4,16908,191,48,-1707,-1286,62,3,"1",7,5,10,1,0,16903,7,18194,216,51,1707,1286
1,13,1,"0",6,9,2,1,0,16250,7,17537,228,55,-556,-235,17,1,"1",9,6,13,0,0,16806,6.8,17772,143,60,556,235
1,20,1,"1",9,7,15,1,0,16541,6.6,16779,199,37,-146,-717,12,3,"0",7,9,8,1,0,16687,6.8,17496,225,44,146,717
1,15,1,"1",12,4,9,1,0,18657,7.2,19205,227,37,4083,2884,15,2,"0",4,12,1,1,0,14574,6.6,16321,191,52,-4083,-2884
1,17,1,"0",5,5,6,0,0,16873,7.2,19105,223,64,1389,1418,38,2,"1",5,5,7,1,0,15484,6.8,17687,226,49,-1389,-1418
0,28,4,"0",3,4,3,1,0,14383,6.4,15898,211,55,-890,-528,16,2,"1",4,3,5,1,0,15273,6.4,16426,208,44,890,528
0,12,3,"1",4,9,5,0,0,14420,6.4,15196,192,32,-2519,-1095,18,3,"0",9,4,15,0,0,16939,6.4,16291,194,46,2519,1095
0,87,1,"0",4,15,4,0,0,14720,6.2,15031,183,30,-4440,-4020,10,1,"1",15,4,14,0,0,19160,7.4,19051,201,51,4440,4020
1,15,3,"1",7,6,7,0,0,17406,7.2,19761,251,64,1140,705,17,1,"0",6,7,4,2,0,16266,7.2,19056,190,56,-1140,-705
0,15,4,"1",5,7,2,0,0,15210,6.4,15974,172,40,-1656,-1832,13,5,"0",7,5,3,0,0,16866,6.8,17806,219,51,1656,1832
1,23,3,"0",10,5,16,0,0,17272,6.4,15840,192,40,2171,-261,37,2,"1",5,10,6,2,0,15101,6.6,16101,199,40,-2171,261
1,18,1,"1",12,4,15,0,0,19358,7.2,19257,206,60,3841,2484,14,2,"0",4,12,3,0,0,15517,6.8,16773,216,56,-3841,-2484
1,16,3,"0",4,11,5,1,1,16855,6.6,16360,232,40,-885,-2172,37,1,"1",11,4,15,1,0,17740,7.2,18532,216,36,885,2172
0,16,2,"0",3,8,4,2,0,15209,6.6,16256,191,60,-2752,-2286,17,4,"1",8,3,9,0,0,17961,7.2,18542,241,52,2752,2286
1,17,3,"1",13,9,22,0,0,19542,7,17935,207,31,2081,466,17,4,"0",9,13,11,0,0,17461,7,17469,200,44,-2081,-466
0,15,5,"1",4,3,4,0,0,15267,6.6,17321,232,53,453,-19,16,2,"0",3,4,3,0,0,14814,6.8,17340,209,51,-453,19
0,15,2,"1",3,1,3,1,0,15243,6.6,17194,224,56,830,-1002,40,4,"0",1,3,1,1,0,14413,6.8,18196,220,56,-830,1002
0,21,2,"0",8,8,3,0,0,16214,6.8,17234,203,48,94,-445,17,4,"1",8,8,6,0,0,16120,7,17679,168,48,-94,445
0,70,2,"0",8,6,12,2,0,15976,7,18227,178,56,-722,891,13,1,"1",6,8,6,0,0,16698,6.6,17336,232,39,722,-891
0,18,1,"0",6,7,10,1,0,16557,6.8,17632,230,47,-1491,-799,38,5,"1",7,6,11,1,0,18048,7,18431,222,53,1491,799
0,10,1,"0",6,14,3,0,0,16142,6.8,16953,198,59,-3109,-1745,13,1,"1",14,6,16,2,0,19251,7,18698,201,37,3109,1745
0,15,4,"1",7,11,9,0,0,17984,7.2,18708,230,56,537,-477,16,4,"0",11,7,11,1,0,17447,7.2,19185,178,51,-537,477
1,15,9,"0",13,5,10,2,0,20038,7.8,21588,222,71,4079,5568,39,1,"1",5,13,6,0,0,15959,6.6,16020,208,40,-4079,-5568
1,91,3,"0",10,5,13,0,1,19571,7.2,18463,213,50,4006,2081,17,1,"1",5,10,6,0,0,15565,6.6,16382,210,47,-4006,-2081
0,18,2,"1",3,10,4,0,0,14557,6.4,15128,200,48,-3582,-5395,16,0,"0",10,3,10,2,0,18139,7.6,20523,246,63,3582,5395
1,16,4,"0",6,6,5,0,0,16029,7,18567,205,56,-355,233,19,3,"1",6,6,5,1,0,16384,7,18334,224,48,355,-233
1,18,11,"1",7,6,8,0,1,18053,6.6,16741,207,46,3464,994,41,1,"0",6,7,6,0,0,14589,6.4,15747,178,22,-3464,-994
1,16,2,"1",9,5,9,1,0,18098,7,18905,225,60,2217,2183,12,1,"0",5,9,3,1,0,15881,6.6,16722,229,32,-2217,-2183
1,13,1,"1",8,3,9,2,0,18343,7.2,19519,235,59,3049,1511,13,3,"0",3,8,2,0,0,15294,7,18008,234,54,-3049,-1511
1,13,2,"0",5,6,4,1,0,15596,7,17998,198,44,-305,-474,25,2,"1",6,5,7,0,0,15901,7,18472,199,40,305,474
0,54,3,"0",4,2,6,1,0,15812,7,17882,229,53,1325,479,15,3,"1",2,4,1,1,0,14487,7,17403,218,54,-1325,-479
1,17,2,"1",6,6,10,0,0,15947,6.4,16477,221,44,-53,87,14,4,"0",6,6,9,1,0,16000,6.4,16390,203,52,53,-87
0,35,1,"0",5,9,5,0,0,14997,6.6,16532,196,40,-2865,-1441,16,4,"1",9,5,7,1,0,17862,6.8,17973,237,32,2865,1441
0,10,1,"1",7,7,5,0,0,16463,6.8,17576,215,42,-93,-561,33,0,"0",7,7,8,1,0,16556,7,18137,217,40,93,561
0,19,5,"1",6,7,7,0,0,16072,6.6,17054,225,46,-420,-1185,15,3,"0",7,6,10,1,0,16492,7.2,18239,212,50,420,1185
1,22,6,"1",7,3,6,1,0,19140,7.4,19579,253,64,5008,2355,60,6,"0",3,7,3,1,0,14132,6.8,17224,179,45,-5008,-2355
0,19,2,"1",4,6,1,0,0,14547,6.4,15883,188,53,-2074,-1795,19,3,"0",6,4,5,2,0,16621,6.8,17678,196,56,2074,1795
1,14,5,"0",5,4,7,1,0,15644,6.8,17717,188,63,-3,1013,20,3,"1",4,5,7,0,0,15647,6.6,16704,190,48,3,-1013
0,15,2,"1",5,5,5,0,0,15734,7,17911,213,47,-837,-660,21,3,"0",5,5,7,2,0,16571,7,18571,249,47,837,660
1,38,2,"1",5,5,6,1,0,16794,6.8,17320,229,39,510,-747,37,4,"0",5,5,6,1,0,16284,7.2,18067,216,55,-510,747
0,16,3,"0",6,11,8,1,0,15930,6.8,17257,200,43,-3549,-2407,14,4,"1",11,6,12,0,0,19479,7.4,19664,214,60,3549,2407
1,17,4,"0",6,6,6,0,0,16936,7.2,18646,240,56,272,359,56,2,"1",6,6,7,1,0,16664,6.8,18287,199,68,-272,-359
1,18,2,"1",9,5,9,0,0,17941,7.2,19379,230,51,2187,2189,45,3,"0",5,9,5,0,0,15754,7,17190,206,52,-2187,-2189
0,19,6,"0",2,8,4,0,0,13698,6.2,15671,222,33,-4907,-2556,18,7,"1",8,2,11,1,1,18605,7,18227,242,40,4907,2556
